Date,Day_of_Week,Exercise_Type,Specific_Exercise,Duration_mins,Calories_Burned,Actual_Weight_kg,Expected_Weight_kg,Heart_Rate_bpm,Steps,Sleep_hours,Intensity,Notes
2025-01-20,Monday,Cardio,Swimming,34,386,77.8,78.0,157,8586,9.3,Medium,Intervals
2025-01-21,Tuesday,Flexibility,Yoga,43,147,78.2,78.0,85,5630,6.9,Low,Good stretch
2025-01-22,Wednesday,Cardio,Running,33,344,78.1,77.9,145,9987,7.4,High,Steady pace
2025-01-23,Thursday,Flexibility,Stretching,34,90,77.8,77.8,92,5476,7.6,Low,Good stretch
2025-01-24,Friday,Cardio,Jump Rope,30,344,77.9,77.7,143,8124,8.1,High,Great workout
2025-01-25,Saturday,Strength,Weightlifting,38,274,77.5,77.7,142,7495,8.1,Medium,New PR
2025-01-26,Sunday,Rest,Rest Day,0,0,77.5,77.6,70,3397,8.7,Low,Rest and recover
2025-01-27,Monday,Cardio,Swimming,34,319,77.5,77.5,145,12697,7.4,Medium,Felt strong
2025-01-28,Tuesday,Strength,Weightlifting,54,378,77.2,77.4,136,6383,8.7,High,Solid session
2025-01-29,Wednesday,Cardio,Running,45,391,77.5,77.4,141,12404,7.5,Medium,Outdoor session
2025-01-30,Thursday,Flexibility,Stretching,38,106,77.7,77.3,87,5344,7.5,Low,Morning yoga
2025-01-31,Friday,Cardio,Running,35,336,77.4,77.2,145,7683,7.3,Medium,Steady pace
2025-02-01,Saturday,Strength,Bodyweight,43,326,76.7,77.1,142,7385,8.2,Medium,Power training
2025-02-02,Sunday,Rest,Rest Day,0,0,76.9,77.1,70,2381,6.9,Low,Taking it easy
2025-02-03,Monday,Cardio,Running,27,230,76.7,77.0,142,7502,7.7,Medium,Evening run
2025-02-04,Tuesday,Flexibility,Stretching,32,113,77.0,76.9,88,5918,8.7,Low,Morning yoga
2025-02-05,Wednesday,Cardio,Cycling,41,480,77.1,76.9,147,11640,8.1,High,Felt strong
2025-02-06,Thursday,Flexibility,Stretching,33,117,76.8,76.8,96,5871,7.7,Low,Evening class
2025-02-07,Friday,Cardio,Swimming,43,389,76.7,76.7,158,11904,7.2,High,Good pace
2025-02-08,Saturday,Strength,Bodyweight,47,369,76.8,76.7,150,6416,6.5,Medium,Good form
2025-02-09,Sunday,Rest,Rest Day,0,0,76.4,76.6,72,3429,6.9,Low,Recovery day
2025-02-10,Monday,Cardio,Running,33,351,76.2,76.5,164,7559,8.1,Medium,Speed work
2025-02-11,Tuesday,Strength,Bodyweight,55,482,76.8,76.5,139,6537,7.5,Medium,Solid session
2025-02-12,Wednesday,Cardio,Jump Rope,37,311,76.7,76.4,144,10954,7.8,High,Steady pace
2025-02-13,Thursday,Flexibility,Yoga,53,152,76.3,76.3,94,5170,7.0,Low,Morning yoga
2025-02-14,Friday,Flexibility,Yoga,37,147,76.8,76.3,89,5423,8.3,Low,Mobility work
2025-02-15,Saturday,Strength,Bodyweight,51,396,75.8,76.2,149,7496,7.3,Medium,Solid session
2025-02-16,Sunday,Rest,Rest Day,0,0,76.2,76.2,72,4002,6.9,Low,Rest day
2025-02-17,Monday,Rest,Rest Day,0,0,75.6,76.1,68,4189,6.5,Low,Needed rest
2025-02-18,Tuesday,Strength,Weightlifting,49,365,75.9,76.0,145,6323,6.9,High,Progressive overload
2025-02-19,Wednesday,Rest,Rest Day,0,0,76.1,76.0,72,4712,6.7,Low,Active recovery
2025-02-20,Thursday,Flexibility,Yoga,44,160,76.2,75.9,92,5220,7.5,Low,Stretching focus
2025-02-21,Friday,Cardio,Jump Rope,36,326,76.0,75.9,161,7101,8.4,Medium,Intervals
2025-02-22,Saturday,Flexibility,Stretching,43,124,75.6,75.8,92,5553,6.7,Low,Relaxing
2025-02-23,Sunday,Rest,Rest Day,0,0,75.6,75.8,69,4771,7.9,Low,Off day
2025-02-24,Monday,Cardio,Jump Rope,29,281,75.6,75.7,164,7551,8.4,High,Intervals
2025-02-25,Tuesday,Rest,Rest Day,0,0,75.6,75.6,71,3806,6.5,Low,Off day
2025-02-26,Wednesday,Cardio,Jump Rope,29,277,75.7,75.6,141,7590,6.5,High,Steady pace
2025-02-27,Thursday,Flexibility,Stretching,54,185,75.8,75.5,87,5742,7.0,Low,Vinyasa flow
2025-02-28,Friday,Cardio,Cycling,42,339,75.3,75.5,159,9722,7.4,Medium,Intervals
2025-03-01,Saturday,Strength,Weightlifting,47,351,75.5,75.4,139,7212,7.7,Medium,Power training
2025-03-02,Sunday,Rest,Rest Day,0,0,75.1,75.4,69,4252,7.4,Low,Recovery
2025-03-03,Monday,Sports,Soccer,57,465,74.9,75.3,158,11526,7.7,High,League game
2025-03-04,Tuesday,Strength,Weightlifting,37,315,75.4,75.3,142,6948,7.9,Medium,Power training
2025-03-05,Wednesday,Rest,Rest Day,0,0,75.4,75.2,70,2489,8.0,Low,Rest day
2025-03-06,Thursday,Flexibility,Stretching,33,95,75.9,75.2,86,5899,7.8,Low,Flexibility gains
2025-03-07,Friday,Cardio,Swimming,39,443,74.9,75.1,149,7149,7.8,High,Steady pace
2025-03-08,Saturday,Strength,Bodyweight,50,431,75.2,75.1,148,6714,8.1,High,Good form
2025-03-09,Sunday,Rest,Rest Day,0,0,75.1,75.0,70,2984,8.3,Low,Recovery
2025-03-10,Monday,Cardio,Swimming,32,258,74.7,75.0,156,9766,8.0,High,Outdoor session
2025-03-11,Tuesday,Rest,Rest Day,0,0,75.3,74.9,68,3945,7.0,Low,Needed rest
2025-03-12,Wednesday,Cardio,Cycling,36,303,75.1,74.9,147,10387,8.6,High,Intervals
2025-03-13,Thursday,Rest,Rest Day,0,0,75.1,74.8,70,4258,6.8,Low,Off day
2025-03-14,Friday,Cardio,Jump Rope,42,364,74.7,74.8,165,7558,6.7,High,Speed work
2025-03-15,Saturday,Strength,Weightlifting,50,418,74.6,74.7,136,6317,8.4,High,Good form
2025-03-16,Sunday,Rest,Rest Day,0,0,74.4,74.7,70,4499,7.3,Low,Off day
2025-03-17,Monday,Cardio,Cycling,32,278,74.5,74.6,141,10441,8.4,High,Intervals
2025-03-18,Tuesday,Strength,Weightlifting,40,356,74.4,74.6,149,6558,7.9,High,Progressive overload
2025-03-19,Wednesday,Cardio,Jump Rope,25,216,74.3,74.5,145,11849,8.1,High,Great workout
2025-03-20,Thursday,Flexibility,Yoga,39,134,75.1,74.5,98,5622,7.2,Low,Good stretch
2025-03-21,Friday,Rest,Rest Day,0,0,74.7,74.5,69,3083,7.4,Low,Recovery
2025-03-22,Saturday,Strength,Bodyweight,39,279,74.5,74.4,140,6854,7.3,High,Good form
2025-03-23,Sunday,Rest,Rest Day,0,0,74.2,74.4,70,4733,6.5,Low,Rest and recover
2025-03-24,Monday,Cardio,Swimming,38,453,74.1,74.3,161,9500,6.9,Medium,Outdoor session
2025-03-25,Tuesday,Strength,Bodyweight,43,345,74.1,74.3,138,6628,7.1,High,Solid session
2025-03-26,Wednesday,Cardio,Running,25,243,74.3,74.2,151,12824,7.0,High,Morning session
2025-03-27,Thursday,Flexibility,Yoga,55,161,74.5,74.2,92,5786,8.0,Low,Flexibility gains
2025-03-28,Friday,Cardio,Running,40,407,74.3,74.2,158,8184,7.1,Medium,Evening run
2025-03-29,Saturday,Rest,Rest Day,0,0,74.0,74.1,69,4150,8.6,Low,Recharge day
2025-03-30,Sunday,Rest,Rest Day,0,0,74.3,74.1,68,2970,7.2,Low,Rest day
2025-03-31,Monday,Cardio,Swimming,46,550,73.8,74.0,146,10201,7.6,High,Good pace
2025-04-01,Tuesday,Strength,Bodyweight,47,397,73.8,74.0,142,7625,7.0,Medium,Full body
2025-04-02,Wednesday,Cardio,Running,40,449,74.0,74.0,164,9015,7.8,High,Hill training
2025-04-03,Thursday,Flexibility,Stretching,42,124,74.3,73.9,98,5173,6.5,Low,Flexibility gains
2025-04-04,Friday,Cardio,Cycling,27,253,74.1,73.9,143,12174,6.7,High,Speed work
2025-04-05,Saturday,Strength,Bodyweight,54,390,73.6,73.8,146,6760,6.5,High,Full body
2025-04-06,Sunday,Rest,Rest Day,0,0,73.7,73.8,72,2601,7.1,Low,Active recovery
2025-04-07,Monday,Cardio,Jump Rope,49,495,73.6,73.8,143,10359,6.5,Medium,Felt strong
2025-04-08,Tuesday,Strength,Bodyweight,46,336,73.8,73.7,146,7313,6.8,Medium,Solid session
2025-04-09,Wednesday,Cardio,Swimming,31,284,73.5,73.7,153,7606,7.6,High,Great workout
2025-04-10,Thursday,Rest,Rest Day,0,0,73.8,73.7,69,4379,8.1,Low,Recovery
2025-04-11,Friday,Cardio,Cycling,41,482,73.5,73.6,149,9543,6.5,Medium,Intervals
2025-04-12,Saturday,Strength,Bodyweight,50,447,73.4,73.6,150,7744,7.2,High,Core focus
2025-04-13,Sunday,Rest,Rest Day,0,0,73.4,73.5,72,3815,7.7,Low,Active recovery
2025-04-14,Monday,Cardio,Jump Rope,30,353,73.4,73.5,165,7502,7.2,Medium,Speed work
2025-04-15,Tuesday,Cardio,Cycling,28,323,73.6,73.5,148,9567,7.5,High,Speed work
2025-04-16,Wednesday,Cardio,Jump Rope,39,337,73.7,73.4,162,10280,8.1,High,Morning session
2025-04-17,Thursday,Flexibility,Stretching,45,145,73.6,73.4,90,5360,7.7,Low,Restorative
2025-04-18,Friday,Cardio,Cycling,34,404,73.3,73.4,158,8366,7.4,High,Speed work
2025-04-19,Saturday,Strength,Weightlifting,35,257,73.5,73.3,149,7949,7.8,Medium,Solid session
2025-04-20,Sunday,Rest,Rest Day,0,0,73.1,73.3,72,3280,7.4,Low,Recovery day
2025-04-21,Monday,Cardio,Jump Rope,45,486,73.0,73.3,153,10581,8.3,High,Outdoor session
2025-04-22,Tuesday,Rest,Rest Day,0,0,73.0,73.2,69,3855,6.5,Low,Rest and recover
2025-04-23,Wednesday,Cardio,Cycling,42,479,73.0,73.2,149,9530,7.6,High,Outdoor session
2025-04-24,Thursday,Flexibility,Yoga,38,142,73.3,73.2,89,5028,8.3,Low,Restorative
2025-04-25,Friday,Cardio,Swimming,40,427,73.5,73.2,146,11464,6.5,Medium,Steady pace
2025-04-26,Saturday,Strength,Weightlifting,39,320,73.0,73.1,145,5945,8.1,Medium,Power training
2025-04-27,Sunday,Rest,Rest Day,0,0,72.7,73.1,72,4721,6.8,Low,Needed rest
2025-04-28,Monday,Cardio,Jump Rope,28,298,73.1,73.1,161,10362,6.6,Medium,Great workout
2025-04-29,Tuesday,Strength,Weightlifting,45,351,72.7,73.0,137,6087,6.8,Medium,Good form
2025-04-30,Wednesday,Cardio,Cycling,34,349,72.9,73.0,147,11200,6.5,Medium,Outdoor session
2025-05-01,Thursday,Flexibility,Yoga,47,170,73.4,73.0,94,5148,7.0,Low,Evening class
2025-05-02,Friday,Cardio,Running,26,276,73.1,72.9,141,7678,7.3,High,Hill training
2025-05-03,Saturday,Strength,Weightlifting,51,433,72.7,72.9,150,6752,6.7,High,Strength gains
2025-05-04,Sunday,Rest,Rest Day,0,0,72.6,72.9,72,3945,7.4,Low,Recovery
2025-05-05,Monday,Cardio,Jump Rope,38,440,72.8,72.9,164,12332,7.3,High,Morning session
2025-05-06,Tuesday,Strength,Bodyweight,48,395,72.8,72.8,144,7869,6.6,High,Good form
2025-05-07,Wednesday,Cardio,Swimming,48,561,72.9,72.8,156,8658,7.5,Medium,Speed work
2025-05-08,Thursday,Cardio,Cycling,38,369,73.0,72.8,152,12864,7.6,Medium,Good pace
2025-05-09,Friday,Cardio,Cycling,48,385,72.7,72.7,165,12455,8.6,Medium,Evening run
2025-05-10,Saturday,Strength,Bodyweight,53,406,72.8,72.7,135,6472,6.7,High,Good form
2025-05-11,Sunday,Rest,Rest Day,0,0,72.4,72.7,68,3046,7.0,Low,Recovery day
2025-05-12,Monday,Cardio,Swimming,40,336,72.6,72.7,144,11411,7.6,Medium,Felt strong
2025-05-13,Tuesday,Strength,Bodyweight,41,288,72.8,72.6,147,5524,6.5,Medium,Core focus
2025-05-14,Wednesday,Cardio,Swimming,26,296,72.7,72.6,159,9438,7.2,Medium,Good pace
2025-05-15,Thursday,Flexibility,Stretching,52,203,72.7,72.6,93,5021,6.9,Low,Stretching focus
2025-05-16,Friday,Rest,Rest Day,0,0,72.7,72.6,70,4626,7.4,Low,Off day
2025-05-17,Saturday,Strength,Bodyweight,41,327,72.5,72.5,150,7324,9.1,Medium,Leg day
2025-05-18,Sunday,Rest,Rest Day,0,0,72.5,72.5,68,2916,7.4,Low,Off day
2025-05-19,Monday,Cardio,Running,26,247,72.4,72.5,152,8369,6.8,Medium,Intervals
2025-05-20,Tuesday,Rest,Rest Day,0,0,72.5,72.5,69,4058,7.6,Low,Rest day
2025-05-21,Wednesday,Cardio,Cycling,41,404,72.7,72.4,150,12908,7.7,High,Morning session
2025-05-22,Thursday,Flexibility,Yoga,48,155,72.9,72.4,85,5043,8.4,Low,Recovery
2025-05-23,Friday,Cardio,Swimming,34,289,72.5,72.4,149,10541,7.3,High,Speed work
2025-05-24,Saturday,Strength,Weightlifting,55,475,72.3,72.4,147,6382,6.7,High,Progressive overload
2025-05-25,Sunday,Rest,Rest Day,0,0,72.0,72.3,69,4553,7.1,Low,Off day
2025-05-26,Monday,Cardio,Swimming,46,375,72.3,72.3,145,10794,7.7,High,Great workout
2025-05-27,Tuesday,Strength,Weightlifting,45,404,72.2,72.3,136,6742,7.6,High,Good form
2025-05-28,Wednesday,Cardio,Running,37,372,72.6,72.3,163,10471,7.0,High,Morning session
2025-05-29,Thursday,Flexibility,Stretching,33,126,72.7,72.3,98,5287,6.5,Low,Recovery
2025-05-30,Friday,Cardio,Swimming,48,418,72.0,72.2,156,11026,7.9,High,Evening run
2025-05-31,Saturday,Strength,Weightlifting,39,325,71.8,72.2,136,5646,8.3,High,New PR
2025-06-01,Sunday,Rest,Rest Day,0,0,72.1,72.2,71,2548,8.6,Low,Recharge day
2025-06-02,Monday,Cardio,Running,26,250,71.8,72.2,145,12144,7.4,High,Felt strong
2025-06-03,Tuesday,Strength,Weightlifting,40,324,72.1,72.1,143,7288,7.1,Medium,Progressive overload
2025-06-04,Wednesday,Cardio,Cycling,28,328,72.3,72.1,165,10104,7.3,Medium,Outdoor session
2025-06-05,Thursday,Flexibility,Yoga,48,152,72.6,72.1,86,5972,7.1,Low,Relaxing
2025-06-06,Friday,Cardio,Running,42,425,71.9,72.1,164,12116,7.0,Medium,Evening run
2025-06-07,Saturday,Strength,Weightlifting,43,376,71.9,72.1,144,6355,8.6,High,Upper body focus
2025-06-08,Sunday,Rest,Rest Day,0,0,71.6,72.0,68,3993,6.9,Low,Recovery day
2025-06-09,Monday,Rest,Rest Day,0,0,72.0,72.0,72,2861,7.4,Low,Active recovery
2025-06-10,Tuesday,Strength,Weightlifting,53,475,72.3,72.0,143,6110,9.5,Medium,Solid session
2025-06-11,Wednesday,Cardio,Cycling,36,377,72.0,72.0,152,11300,7.0,Medium,Evening run
2025-06-12,Thursday,Flexibility,Stretching,52,207,72.5,72.0,87,5619,7.1,Low,Morning yoga
2025-06-13,Friday,Cardio,Cycling,40,405,72.1,71.9,142,11779,7.9,High,Morning session
2025-06-14,Saturday,Strength,Bodyweight,50,359,71.6,71.9,144,7475,7.0,Medium,Leg day
2025-06-15,Sunday,Rest,Rest Day,0,0,71.7,71.9,72,3482,7.8,Low,Rest and recover
2025-06-16,Monday,Cardio,Cycling,41,370,71.9,71.9,162,8793,7.4,Medium,Intervals
2025-06-17,Tuesday,Rest,Rest Day,0,0,72.1,71.9,70,3255,7.8,Low,Taking it easy
2025-06-18,Wednesday,Cardio,Running,29,260,72.0,71.8,145,11342,6.7,High,Felt strong
2025-06-19,Thursday,Cardio,Cycling,50,557,71.7,71.8,161,8606,6.5,Medium,Evening run
2025-06-20,Friday,Cardio,Running,45,465,71.9,71.8,156,7652,7.8,Medium,Good pace
2025-06-21,Saturday,Strength,Weightlifting,39,331,72.0,71.8,135,6840,7.1,High,Strength gains
2025-06-22,Sunday,Rest,Rest Day,0,0,71.9,71.8,70,2435,7.9,Low,Rest and recover
2025-06-23,Monday,Cardio,Swimming,34,333,71.8,71.8,162,10534,6.5,High,Evening run
2025-06-24,Tuesday,Rest,Rest Day,0,0,71.6,71.7,68,2966,7.2,Low,Recovery day
2025-06-25,Wednesday,Rest,Rest Day,0,0,72.0,71.7,69,3758,8.3,Low,Recovery
2025-06-26,Thursday,Flexibility,Yoga,51,158,71.8,71.7,86,5586,7.5,Low,Recovery
2025-06-27,Friday,Cardio,Running,50,447,71.6,71.7,154,10493,7.9,High,Morning session
2025-06-28,Saturday,Strength,Bodyweight,52,409,71.6,71.7,140,7569,8.1,High,Power training
2025-06-29,Sunday,Rest,Rest Day,0,0,71.8,71.7,69,3463,7.4,Low,Off day
2025-06-30,Monday,Cardio,Swimming,50,568,71.0,71.6,154,9834,8.2,High,Speed work
2025-07-01,Tuesday,Cardio,Running,35,313,71.3,71.6,149,12000,8.0,High,Hill training
2025-07-02,Wednesday,Cardio,Jump Rope,41,446,72.0,71.6,149,11657,6.5,High,Intervals
2025-07-03,Thursday,Flexibility,Stretching,39,142,72.0,71.6,89,5086,8.7,Low,Morning yoga
2025-07-04,Friday,Cardio,Cycling,49,420,71.5,71.6,154,9168,7.9,Medium,Good pace
2025-07-05,Saturday,Strength,Bodyweight,40,296,71.7,71.6,139,6701,6.5,Medium,Upper body focus
2025-07-06,Sunday,Rest,Rest Day,0,0,71.1,71.5,72,3004,6.7,Low,Needed rest
2025-07-07,Monday,Cardio,Cycling,41,356,71.4,71.5,155,12408,7.2,High,Intervals
2025-07-08,Tuesday,Rest,Rest Day,0,0,71.7,71.5,70,3947,7.6,Low,Needed rest
2025-07-09,Wednesday,Cardio,Jump Rope,47,417,71.5,71.5,140,9838,6.7,High,Morning session
2025-07-10,Thursday,Sports,Basketball,64,567,71.8,71.5,165,11196,7.4,High,Practice
2025-07-11,Friday,Cardio,Cycling,38,387,71.4,71.5,149,11219,8.2,Medium,Steady pace
2025-07-12,Saturday,Strength,Weightlifting,40,304,71.6,71.5,146,6291,8.0,High,Upper body focus
2025-07-13,Sunday,Rest,Rest Day,0,0,71.5,71.4,70,3454,6.8,Low,Full rest
2025-07-14,Monday,Strength,Weightlifting,36,261,71.1,71.4,147,7536,7.8,High,Progressive overload
2025-07-15,Tuesday,Strength,Bodyweight,42,376,71.2,71.4,135,6888,7.9,Medium,Strength gains
2025-07-16,Wednesday,Cardio,Jump Rope,29,250,71.4,71.4,146,10976,7.3,Medium,Morning session
2025-07-17,Thursday,Flexibility,Stretching,30,80,71.9,71.4,90,5619,7.8,Low,Good stretch
2025-07-18,Friday,Cardio,Swimming,50,585,71.3,71.4,163,10404,7.3,Medium,Hill training
2025-07-19,Saturday,Strength,Bodyweight,35,310,71.4,71.4,142,6812,7.4,High,Upper body focus
2025-07-20,Sunday,Rest,Rest Day,0,0,71.2,71.3,68,4875,7.8,Low,Rest and recover
2025-07-21,Monday,Cardio,Cycling,34,328,71.4,71.3,162,12493,6.6,High,Felt strong
2025-07-22,Tuesday,Strength,Weightlifting,50,380,71.3,71.3,146,6716,7.7,High,Leg day
2025-07-23,Wednesday,Cardio,Swimming,43,416,71.2,71.3,144,8855,6.6,High,Evening run
2025-07-24,Thursday,Flexibility,Stretching,34,117,71.3,71.3,89,5439,7.9,Low,Evening class
2025-07-25,Friday,Cardio,Running,48,462,71.4,71.3,149,9822,8.1,Medium,Morning session
2025-07-26,Saturday,Strength,Weightlifting,41,345,71.5,71.3,137,7919,6.5,High,Upper body focus
2025-07-27,Sunday,Rest,Rest Day,0,0,71.3,71.3,70,2373,7.5,Low,Taking it easy
2025-07-28,Monday,Cardio,Running,28,252,71.2,71.2,154,9292,8.2,High,Steady pace
2025-07-29,Tuesday,Rest,Rest Day,0,0,70.9,71.2,71,3644,7.1,Low,Rest day
2025-07-30,Wednesday,Cardio,Swimming,47,471,71.3,71.2,143,11840,6.5,Medium,Felt strong
2025-07-31,Thursday,Cardio,Swimming,26,225,71.2,71.2,148,10121,7.6,Medium,Outdoor session
2025-08-01,Friday,Cardio,Cycling,30,267,70.9,71.2,162,12672,8.4,High,Morning session
2025-08-02,Saturday,Strength,Bodyweight,50,403,71.3,71.2,150,5550,8.2,Medium,Strength gains
2025-08-03,Sunday,Rest,Rest Day,0,0,70.9,71.2,69,2044,7.5,Low,Needed rest
2025-08-04,Monday,Cardio,Cycling,49,462,71.0,71.2,154,12956,7.2,Medium,Steady pace
2025-08-05,Tuesday,Strength,Weightlifting,44,386,71.2,71.2,146,6060,8.4,High,Full body
2025-08-06,Wednesday,Cardio,Cycling,46,546,71.3,71.1,150,11398,8.7,High,Intervals
2025-08-07,Thursday,Flexibility,Stretching,35,102,71.5,71.1,91,5324,8.5,Low,Flexibility gains
2025-08-08,Friday,Cardio,Jump Rope,48,522,71.1,71.1,140,11812,6.7,High,Hill training
2025-08-09,Saturday,Strength,Weightlifting,42,356,71.0,71.1,147,5964,7.5,Medium,Good form
2025-08-10,Sunday,Rest,Rest Day,0,0,70.9,71.1,70,3598,8.9,Low,Full rest
2025-08-11,Monday,Cardio,Jump Rope,43,380,71.2,71.1,147,11997,7.3,Medium,Intervals
2025-08-12,Tuesday,Rest,Rest Day,0,0,71.1,71.1,72,3541,8.8,Low,Off day
2025-08-13,Wednesday,Cardio,Swimming,32,324,71.5,71.1,159,12152,6.9,Medium,Steady pace
2025-08-14,Thursday,Flexibility,Stretching,31,120,71.8,71.1,95,5752,7.7,Low,Recovery
2025-08-15,Friday,Cardio,Jump Rope,32,346,71.1,71.0,142,9967,6.5,Medium,Good pace
2025-08-16,Saturday,Flexibility,Stretching,44,153,70.8,71.0,95,5838,7.5,Low,Morning yoga
2025-08-17,Sunday,Rest,Rest Day,0,0,71.0,71.0,69,3078,8.7,Low,Rest and recover
2025-08-18,Monday,Cardio,Running,39,439,70.9,71.0,164,8159,7.1,High,Evening run
2025-08-19,Tuesday,Strength,Weightlifting,54,385,70.9,71.0,140,5866,7.2,Medium,Leg day
2025-08-20,Wednesday,Cardio,Swimming,38,444,70.9,71.0,147,10028,7.3,High,Outdoor session
2025-08-21,Thursday,Strength,Weightlifting,38,322,71.2,71.0,145,7478,8.1,High,Core focus
2025-08-22,Friday,Cardio,Running,30,351,70.8,71.0,150,7293,8.3,Medium,Felt strong
2025-08-23,Saturday,Strength,Bodyweight,49,440,70.9,71.0,138,5832,9.2,Medium,Leg day
2025-08-24,Sunday,Rest,Rest Day,0,0,70.8,71.0,71,2452,7.1,Low,Active recovery
2025-08-25,Monday,Cardio,Jump Rope,38,330,70.8,70.9,148,9028,6.6,Medium,Evening run
2025-08-26,Tuesday,Rest,Rest Day,0,0,70.9,70.9,69,4403,8.0,Low,Recovery day
2025-08-27,Wednesday,Sports,Basketball,62,512,71.0,70.9,160,11466,7.1,High,Competitive game
2025-08-28,Thursday,Flexibility,Stretching,47,187,71.3,70.9,98,5718,6.7,Low,Flexibility gains
2025-08-29,Friday,Cardio,Running,47,471,70.8,70.9,151,10996,6.6,Medium,Hill training
2025-08-30,Saturday,Strength,Weightlifting,43,352,71.0,70.9,135,5532,9.2,Medium,Good form
2025-08-31,Sunday,Rest,Rest Day,0,0,70.8,70.9,72,2273,7.6,Low,Recharge day
2025-09-01,Monday,Cardio,Cycling,25,290,71.0,70.9,164,8910,6.9,High,Steady pace
2025-09-02,Tuesday,Strength,Bodyweight,47,355,70.6,70.9,145,6960,7.2,Medium,Upper body focus
2025-09-03,Wednesday,Cardio,Swimming,25,296,71.1,70.9,160,11665,7.4,Medium,Great workout
2025-09-04,Thursday,Flexibility,Yoga,31,109,71.0,70.9,98,5016,7.2,Low,Recovery
2025-09-05,Friday,Rest,Rest Day,0,0,71.2,70.8,72,2584,7.2,Low,Recovery
2025-09-06,Saturday,Strength,Bodyweight,44,339,70.9,70.8,135,7797,8.1,Medium,New PR
2025-09-07,Sunday,Rest,Rest Day,0,0,70.6,70.8,69,2877,7.2,Low,Rest and recover
2025-09-08,Monday,Cardio,Jump Rope,29,289,70.7,70.8,152,7805,8.3,Medium,Outdoor session
2025-09-09,Tuesday,Strength,Weightlifting,45,387,70.8,70.8,144,5968,6.6,High,Core focus
2025-09-10,Wednesday,Cardio,Running,44,491,71.2,70.8,156,8444,6.5,High,Hill training
2025-09-11,Thursday,Flexibility,Yoga,37,146,71.4,70.8,97,5537,8.5,Low,Stretching focus
2025-09-12,Friday,Cardio,Jump Rope,42,383,70.9,70.8,141,7791,7.6,Medium,Speed work
2025-09-13,Saturday,Strength,Bodyweight,41,316,70.7,70.8,142,7361,7.0,Medium,Upper body focus
2025-09-14,Sunday,Rest,Rest Day,0,0,70.3,70.8,72,2832,6.5,Low,Taking it easy
2025-09-15,Monday,Cardio,Swimming,42,421,70.4,70.8,161,8365,7.2,High,Felt strong
2025-09-16,Tuesday,Strength,Bodyweight,47,366,70.5,70.8,145,6770,6.5,High,New PR
2025-09-17,Wednesday,Cardio,Swimming,27,289,71.1,70.8,156,12387,7.3,High,Intervals
2025-09-18,Thursday,Rest,Rest Day,0,0,71.2,70.7,70,4903,7.1,Low,Off day
2025-09-19,Friday,Cardio,Swimming,25,203,71.0,70.7,156,12964,8.7,High,Steady pace
2025-09-20,Saturday,Strength,Weightlifting,46,405,70.5,70.7,143,6056,8.7,Medium,Solid session
2025-09-21,Sunday,Rest,Rest Day,0,0,70.5,70.7,70,4028,8.4,Low,Recovery day
2025-09-22,Monday,Cardio,Jump Rope,50,586,70.7,70.7,140,8544,8.8,Medium,Intervals
2025-09-23,Tuesday,Strength,Bodyweight,41,344,70.7,70.7,139,7826,7.6,High,Power training
